"","State.Agency","FY2012","FY2013","FY2014","FY2015","FY2016","FY2017","FY2018","FY2019"
"1","Alabama","1701183","1619487","1574001","1576302","1550549","1554776","1574072","1562717"
"2","Alaska","93534","89043","86542","86542","85129","85129","85129","84515"
"3","Arizona","158183","150587","146358","146358","143967","143967","143967","142928"
"4","Arkansas","121576","115737","112486","112650","110809","115036","115036","114206"
"5","California","822758","783248","761250","762363","749908","754135","773431","767851"
"6","Chickasaw Nation, OK","174750","166358","161686","161686","159044","159044","159044","157897"
"7","Choctaw Nation, OK","","","","7953","7953","12180","31476","31476"
"8","Colorado","14430","14430","","","","","",""
"9","Connecticut","89087","84809","82427","82427","81080","81080","81080","80495"
"10","Delaware","","","","","","","30000","30000"
"11","District of Columbia","157398","149839","145631","145631","143252","143252","143252","142219"
"12","Five Sandoval Indian Pueblos, NM","19240","19240","19240","19240","19240","19240","19240","19240"
"13","Florida","106577","101458","98608","98752","97139","101366","120662","119792"
"14","Georgia","253987","241790","234999","235342","231497","235724","255020","253180"
"15","Grand Traverse Band of Ottawa &Chippewa Indians, MI","9925","9925","9925","9925","9925","9925","9925","9925"
"16","Hawaii","543354","517260","502732","502732","494519","498746","498746","495148"
"17","Illinois","866300","824698","801535","802706","789592","793819","813115","807249"
"18","Indiana","61676","61676","61676","61676","61676","65903","85199","84584"
"19","Iowa","582231","554270","538703","539490","530676","530676","530676","526848"
"20","Kansas","185153","176261","171311","171561","168758","172985","192281","190894"
"21","Kentucky","321418","305982","297388","297823","292957","297184","316480","314197"
"22","Louisiana","411357","391603","380604","381160","374933","379160","379160","376425"
"23","Maine","1009274","960806","933820","935185","919906","924133","943429","936623"
"24","Maryland","228206","217247","211145","211454","208000","208000","208000","206499"
"25","Massachusetts","564785","537663","522562","523326","514776","519003","538299","534416"
"26","Michigan","245558","233766","227200","227532","223815","228042","247338","245554"
"27","Minnesota","120428","114645","111425","111588","109765","109765","129061","128130"
"28","Mississippi","100527","95699","93012","93148","91626","95853","115149","114318"
"29","Mississippi Band of Choctaw Indians","29440","29440","29440","29440","29440","29440","29440","29440"
"30","Missouri","","","","","","","","229012"
"31","Montana","100068","95262","92586","92721","91206","95433","95433","94745"
"32","Nebraska","250713","238673","231970","231970","228180","232407","232407","230730"
"33","Nevada","166744","158736","154278","154278","151758","151758","151758","150663"
"34","New Hampshire","99587","94804","92142","92142","90636","90636","90636","89982"
"35","New Jersey","1189963","1132817","1101001","1101001","1083013","1083013","1083013","1075200"
"36","New Mexico","330879","314989","306142","306142","301140","305367","324663","322321"
"37","New York","1936972","1843954","1792164","1794782","1765462","1769689","1788983","1776076"
"38","North Carolina","87457","83257","80919","81037","79713","83940","83940","83334"
"39","Ohio","1747283","1663374","1616656","1619019","1592569","1596796","1616092","1604434"
"40","Oklahoma","75000","75000","75000","75110","73883","78110","78110","77547"
"41","Oregon","921350","877104","852470","853716","839768","839768","859064","852867"
"42","Osage Tribe, OK","38140","38140","38140","38140","38140","38140","38140","38140"
"43","Pennsylvania","1937916","1844852","1793037","1795658","1766323","1770555","1770555","1757782"
"44","Pueblo of San Felipe, NM","17474","17474","17474","17474","17474","17474","36770","36770"
"45","Puerto Rico","1015956","967167","940003","940003","924646","924646","924646","917976"
"46","Rhode Island","281155","267653","260136","260516","256260","260487","279783","277765"
"47","South Carolina","648929","617765","600414","601292","591468","595695","614991","610554"
"48","Standing Rock Sioux Tribe, ND","22200","22200","22200","22200","22200","22200","22200","22200"
"49","Tennessee","554597","527964","513136","513886","505491","509718","509718","506041"
"50","Texas","122028","116168","112905","112905","111061","115288","115288","114456"
"51","Vermont","92939","88476","85991","86117","84710","88937","88937","88295"
"52","Virginia","481905","458763","445878","446530","439235","443462","462758","459420"
"53","Washington","245431","233645","227083","227415","223700","227927","247223","245440"
"54","West Virginia","534731","509052","494755","495478","487383","487383","487383","483867"
"55","Wisconsin","349432","332651","323308","323781","318492","322719","342015","339548"
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA
