State,Region
Alabama,South East Region 
Alaska,West Region
Arizona,South West Region 
Arkansas,South East Region 
California,West Region
Colorado,Mountain Plain Region
Connecticut,Northeast Region
delaware,Middle Atlantic Region
district of columbia,West Region
Florida,South East Region 
Georgia,South East Region 
Hawaii,West Region
Idaho,Mountain Plain Region
Illinois,MidWest Region 
Indiana,MidWest Region 
Iowa,MidWest Region 
Kansas,MidWest Region 
Kentucky,South East Region 
Louisiana,South East Region 
Maine,Northeast Region
Maryland,South East Region 
Massachusetts,Northeast Region
Michigan,MidWest Region 
Minnesota,MidWest Region 
Mississippi,South East Region 
Missouri,MidWest Region 
Montana,Mountain Plain Region
Nebraska,MidWest Region 
Nevada,Mountain Plain Region
New Hampshire,Northeast Region
New Jersey,Middle Atlantic Region
New Mexico,Mountain Plain Region
New York,Middle Atlantic Region
North Carolina,South East Region 
North Dakota,MidWest Region 
Ohio,MidWest Region 
Oklahoma,South West Region 
Oregon,West Region
Pennsylvania,Middle Atlantic Region
puerto rico,US Territories
Rhode Island,Northeast Region
South Carolina,South East Region 
South Dakota,MidWest Region 
Tennessee,South East Region 
Texas ,South West Region 
Utah,Mountain Plain Region
Vermont,Northeast Region
virgin islands,US Territories
virginia,Middle Atlantic Region
Washington,West Region
west virginia,Middle Atlantic Region
Wisconsin,MidWest Region 
Wyoming,Mountain Plain Region
